State,LGA,LGA_updated,RB_MDA_Start,RB_MDA_End
ABIA,Aba North,Aba North,1994,2022
ABIA,Aba South,Aba South,1994,2022
ABIA,Arochukwu,Arochukwu,1994,2022
ABIA,Bende,Bende,1994,2022
ABIA,Ikwuano,Ikwuano,1994,2022
ABIA,Isiala-Ngwa North,Isiala-Ngwa North,1994,2022
ABIA,Isiala-Ngwa South,Isiala-Ngwa South,1994,2022
ABIA,Isuikwuato,Isiukwuato,1994,2022
ABIA,Obi Nwga,Obio-Ngwa,1994,2022
ABIA,Ohafia,Ohafia,1994,2022
ABIA,Osisioma Ngwa,Osisioma Ngwa,1994,2022
ABIA,Ugwunagbo,Ugwunagbo,1994,2022
ABIA,Ukwa East,Ukwa East,1994,2022
ABIA,Ukwa West,Ukwa West,1994,2022
ABIA,Umuahia North,Umuahia North,1995,2022
ABIA,Umuahia South,Umuahia South,1995,2022
ABIA,Umu-Nneochi,Umu-Nneochi,1994,2022
ANAMBRA,Aguata,Aguata,1995,2022
ANAMBRA,Anaocha,Anaocha,1995,2022
ANAMBRA,Awka North,Awka North,1995,2022
ANAMBRA,Awka South,Awka south,1995,2022
ANAMBRA,Ayamelum,Ayamelum,1995,2022
ANAMBRA,Dunukofia,Dunukofia,1995,2022
ANAMBRA,Ekwusigo,Ekwusiko,1995,2022
ANAMBRA,Idemili North,Idimili North,1995,2022
ANAMBRA,Idemili South,Idimili South,1995,2022
ANAMBRA,Ihiala,Ihiala,1995,2022
ANAMBRA,Njikoka,Njikoka,1995,2022
ANAMBRA,Nnewi North,Nnewi North,1995,2022
ANAMBRA,Nnewi South,Nnewi South,1995,2022
ANAMBRA,Orumba North,Orumba North,1995,2022
ANAMBRA,Orumba South,Orumba South,1995,2022
ANAMBRA,Oyi,Oyi,1995,2022
DELTA,Aniocha North,Aniocha North,1995,2022
DELTA,Aniocha South,Aniocha South,1994,2022
DELTA,Ethiope East,Ethiope East,1995,2022
DELTA,Ethiope West,Ethiope West,1995,2019
DELTA,Ika North East,Ika North East,1994,2022
DELTA,Ika South,Ika South,1995,2022
DELTA,Isoko North,Isoko North,1995,2022
DELTA,Ndokwa East,Ndokwa East,1995,2022
DELTA,Ndokwa West,Ndokwa West,1994,2019
DELTA,Okpe,Okpe,1995,2019
DELTA,Oshimili North,Oshimili North,1994,2022
DELTA,Oshimili South,Oshimili South,1995,2019
DELTA,Sapele,Sapele,1995,2019
DELTA,Ughelli North,Ughelli North,1995,2019
DELTA,Ukwuani,Ukwuani,1995,2022
EBONYI,Abakaliki,Abakaliki,2018,2022
EBONYI,Afikpo North,Afikpo North,1994,2022
EBONYI,Ebonyi,Ebonyi,1995,2022
EBONYI,Ezza North,Ezza North,1995,2022
EBONYI,Ezza South,Ezza south,1995,2022
EBONYI,Ikwo,Ikwo,1995,2022
EBONYI,Ishielu,Ishielu,1994,2022
EBONYI,Ivo,Ivo,1995,2022
EBONYI,Izzi,Izzi,1994,2022
EBONYI,Ohaozara,Ohaozara,1994,2022
EBONYI,Ohaukwu,Ohaukwu,2018,2022
EBONYI,Onicha,Onicha,1994,2022
EDO,Akoko-Edo,Akoko-Edo,1993,2022
EDO,Esan Central,Esan Central,1994,2022
EDO,Esan North East,Esan North East,1994,2022
EDO,Esan South East,Esan South East,1994,2022
EDO,Esan West,Esan West,1994,2022
EDO,Etsako Central,Etsako Central,1994,2022
EDO,Etsako East,Etsako East,1994,2022
EDO,Etsako West,Etsako West,1994,2022
EDO,Igueben,Igueben,1994,2022
EDO,Ikpoba-Okha,Ikpoba-Okha,1994,2022
EDO,Orhionmwon,Orhionmwon,1994,2022
EDO,Ovia North East,Ovia North East,1994,2022
EDO,Ovia South West,Ovia South West,1993,2022
EDO,Owan East,Owan East,1993,2022
EDO,Owan West,Owan West,1993,2022
EDO,Uhunmwonde,Uhunmwonde,1994,2022
ENUGU,Aninri,Aninri,1995,2022
ENUGU,Awgu,Awgu,1995,2023
ENUGU,Enugu East,Enugu East,1995,2022
ENUGU,Enugu North,Enugu North,1995,2022
ENUGU,Enugu South,Enugu South,1995,2023
ENUGU,Ezeagu,Ezeagu,1995,2022
ENUGU,Igbo-Etiti,Igbo Ekiti,1995,2023
ENUGU,Igbo-Eze-North,Igbo-Eze North,1995,2022
ENUGU,Igbo-Eze-South,Igbo-Eze South,1995,2023
ENUGU,Isi-Uzo,Isi-Uzo,1995,2023
ENUGU,Nkanu East,Nkanu East,1995,2023
ENUGU,Nkanu West,Nkanu West,1995,2022
ENUGU,Nsukka,Nsuka,1995,2023
ENUGU,Oji-River,Orji-River,1995,2022
ENUGU,Udenu,Udenu,1995,2023
ENUGU,Udi,Udi,1995,2022
ENUGU,Uzo-Uwani,Uzo-Uwani,1995,2022
IMO,Aboh-Mbaise,Abo-Mbaise,1994,2022
IMO,Ahiazu-Mbaise,Ahiazu-Mbaise,1994,2022
IMO,Ehime-Mbano,Ehime-Mbano,1994,2022
IMO,Ezinihitte,Ezinihitte,1994,2022
IMO,Ideato North,Ideato North,1994,2022
IMO,Ideato South,Ideato South,1994,2022
IMO,Ihitte/Uboma,Ihite/Uboma,1994,2022
IMO,Ikeduru,Ikeduru,1994,2022
IMO,Isiala Mbano,Isiala-Mbano,1994,2022
IMO,Isu,Isu,1994,2022
IMO,Mbatoli,Mbaitoli,1994,2022
IMO,Ngor-Okpala,Ngor-Okp,1994,2022
IMO,Njaba,Njaba,1994,2022
IMO,Nkwerre,Nkwere,1994,2022
IMO,Nwangele,Nwangele,1994,2022
IMO,Obowo,Obowo,1994,2022
IMO,Okigwe,Okigwe,1994,2022
IMO,Onuimo,Onuimo,1994,2022
IMO,Orlu,Orlu,1994,2022
IMO,Orsu,Orsu,1994,2022
IMO,Owerri North,Owerri North,1994,2022
IMO,Owerri West,Owerri West,1994,2022
NASARAWA,Akwanga,Akwanga,1992,2017
NASARAWA,Karu,Karu,1993,2017
NASARAWA,Kokona,Kokona,1993,2017
NASARAWA,Lafia,Lafia,1993,2017
NASARAWA,Nasarawa Eggon,Nasarawa-Eggon,1992,2017
NASARAWA,Toto,Toto,1992,2017
NASARAWA,Wamba,Wamba,1994,2017
PLATEAU,Bassa,Bassa,1992,2017
PLATEAU,Bokkos,Bokkos,1993,2017
PLATEAU,Jos East,Jos East,1992,2017
PLATEAU,Kanke,Kanke,1993,2017
PLATEAU,Pankshin,Pankshin,1993,2017
