Focus,District,District_updated,RB_MDA_Start,RB_MDA_End,Vec_cntrl_start,Vec_cntrl_end,Annual,Biannual,Vector_control
Wadelai,Nebbi,NEBBI,1993,2010,,,1993 - 2005,2006 - 2010,
Wadelai,Pakwach,Pakwach,1993,2010,,,1993 - 2005,2006 - 2010,
Mpamba-Nkusi,Kibaale,KIBAALE,1997,2012,2003,2007,1997 - 2006,2007 - 2012,2003- 2007
Itwara,Kyenjojo,KYENJOJO,1991,2011,1993,2003,1991 - 2011,,1993 - 2003
Itwara,Kabarole,KABAROLE,1991,2011,1993,2003,1991 - 2011,,1993 - 2003
Itwara,Bunyangabu,Bunyangabu,1991,2011,1993,2003,1991 - 2011,,1993 - 2003
Mt. Elgon,Manafwa,MANAFWA,1994,2013,2007,2009,1994 - 2006,2007 - 2013,2007 - 2009
Mt. Elgon,Namisindwa,Namisindwa,1994,2013,2007,2009,1994 - 2006,2007 - 2013,2007 - 2009
Mt. Elgon,Bududa,BUDUDA,1994,2013,2007,2009,1994 - 2006,2007 - 2013,2007 - 2009
Mt. Elgon,Mbale,MBALE,1994,2013,2007,2009,1994 - 2006,2007 - 2013,2007 - 2009
Mt. Elgon,Sironko,SIRONKO,1994,2013,2007,2009,1994 - 2006,2007 - 2013,2007 - 2009
Imaramagambo,Mitooma,Mitooma,1991,2012,,,1991 - 2012,,
Imaramagambo,Bushenyi,BUSHENYI,1991,2012,,,1991 - 2012,,
Kashoya-Kitomi,Buhweju,Buhweju,1991,2013,2008,2010,1991-2006,2007 - 2013,2008 - 2010
Kashoya-Kitomi,Ibanda,IBANDA,1991,2013,2008,2010,1991-2006,2007 - 2013,2008 - 2010
Kashoya-Kitomi,Kamwenge,KAMWENGE,1991,2013,2008,2010,1991-2006,2007 - 2013,2008 - 2010
Kashoya-Kitomi,Kitagwenda,Kitagwenda,1991,2013,2008,2010,1991-2006,2007 - 2013,2008 - 2010
Kashoya-Kitomi,Rubirizi,Rubirizi,1991,2013,2008,2010,1991-2006,2007 - 2013,2008 - 2010
Wambabya-Rwamarongo,Hoima,HOIMA,1991,2013,2008,2010,1991 - 2006,2007 - 2013,2008 - 2010
Wambabya-Rwamarongo,Kikuube,Kikuube,1991,2013,2008,2010,1991 - 2006,2007 - 2013,2008 - 2010
Budongo,Buliisa,BULIISA,1990,2022,2012,2014,1990 - 2005,2012 - 2018*,2012 - 2014
Budongo,Masindi,MASINDI,1990,2022,2012,2014,1990 - 2005,2013 - 2018*,2012 - 2014
Bwindi,Kanungu,KANUNGU,1993,2022,,,1993 - 2006,2007 - 2018*,
Bwindi,Kisoro,KISORO,1993,2022,,,1993 - 2006,2007 - 2018*,
Bwindi,Kabale,KABALE,1993,2022,,,1993 - 2006,2007 - 2018*,
Bwindi,Rukiga,Rukiga,1993,2022,,,1993 - 2006,2007 - 2018*,
Maracha-Terego,Maracha,Maracha/Teregago,1991,2012,,,1991-2012,,
Nyagak-Bondo,Arua,ARUA,1993,2022,2012,2013,1993 - 2011,2012 - 2018*,2012 - 2013
Nyagak-Bondo,MadI-Okollo,MadI-Okollo,1993,2022,2012,2013,1993 - 2011,2012 - 2018*,2012 - 2013
Nyagak-Bondo,Zombo,Zombo,1993,2022,2012,2013,1993 - 2011,2012 - 2018*,2012 - 2013
Lhubiriha,Kasese,KASESE,1993,2022,2014,2022,1993 - 2014,2015 - 2018*,2014 - 2018*
West Nile,Koboko,KOBOKO,1993,2016,,,1993 - 2016,,
West Nile,Yumbe,YUMBE,1993,2016,,,1993 - 2016,,
Madi Mid North,Lamwo,Lamwo,1994,2022,2012,2018,1994 - 2011,2012 - 2018*,2012 - 2018*
Madi Mid North,Amuru,AMURU,1994,2022,2012,2018,1994 - 2011,2012 - 2018*,2012 - 2018*
Madi Mid North,Nwaya,,1994,2022,2012,2018,1994 - 2011,2012 - 2018*,2012 - 2018*
Madi Mid North,Oyam,OYAM,1994,2022,2012,2018,1994 - 2011,2012 - 2018*,2012 - 2018*
Madi Mid North,Gulu,GULU,1994,2022,2012,2018,1994 - 2011,2012 - 2018*,2012 - 2018*
Madi Mid North,OMORO,OMORO,1994,2022,2012,2018,1994 - 2011,2012 - 2018*,2012 - 2018*
Madi Mid North,Pader,Pader,1994,2022,2012,2018,1994 - 2011,2012 - 2018*,2012 - 2018*
Madi Mid North,Kitgum,Kitgum,1994,2022,2012,2018,1994 - 2011,2012 - 2018*,2012 - 2018*
Madi Mid North,Moyo,MOYO,1994,2022,2012,2018,1994 - 2011,2012 - 2018*,2012 - 2018*
Madi Mid North,Obongi,Obongi,1994,2022,2012,2018,1994 - 2011,2012 - 2018*,2012 - 2018*
Madi Mid North,Adjumani,ADJUMANI,1994,2022,2012,2018,1994 - 2011,2012 - 2018*,2012 - 2018*
